ModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease
ACH-000828,909907.0,ZR-75-30,Breast,Invasive Breast Carcinoma
ACH-000830,908469.0,NCI-H1436,Lung,Lung Neuroendocrine Tumor
ACH-000832,910916.0,CAL 27,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000835,906999.0,GCT,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-000838,1295741.0,AMO-1,Lymphoid,Mature B-Cell Neoplasms
ACH-000840,1240144.0,HCC-366,Lung,Non-Small Cell Lung Cancer
ACH-000841,724834.0,NCI-H2087,Lung,Non-Small Cell Lung Cancer
ACH-000843,1240142.0,HARA,Lung,Non-Small Cell Lung Cancer
ACH-000846,906863.0,FaDu,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000847,907055.0,HGC-27,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000848,1240160.0,JHH-7,Liver,Hepatocellular Carcinoma
ACH-000849,908123.0,MDA-MB-468,Breast,Invasive Breast Carcinoma
ACH-000852,1298347.0,NCI-H1435,Lung,Non-Small Cell Lung Cancer
ACH-000853,687829.0,NCI-H661,Lung,Non-Small Cell Lung Cancer
ACH-000855,907317.0,KYSE-150,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000856,910927.0,CAL-51,Breast,Invasive Breast Carcinoma
ACH-000857,910852.0,CAL-85-1,Breast,Invasive Breast Carcinoma
ACH-000858,753569.0,KNS-62,Lung,Non-Small Cell Lung Cancer
ACH-000859,749709.0,HCC1954,Breast,Breast Ductal Carcinoma In Situ
ACH-000860,908465.0,NCI-H358,Lung,Non-Small Cell Lung Cancer
ACH-000861,905972.0,HOP-62,Lung,Non-Small Cell Lung Cancer
ACH-000863,906835.0,DBTRG-05MG,CNS/Brain,Diffuse Glioma
ACH-000864,910691.0,COLO 684,Uterus,Endometrial Carcinoma
ACH-000865,907320.0,KYSE-450,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000866,687995.0,NCI-H1048,Lung,Lung Neuroendocrine Tumor
ACH-000867,687596.0,ChaGo-K-1,Lung,Non-Small Cell Lung Cancer
ACH-000869,1298348.0,NCI-H1568,Lung,Non-Small Cell Lung Cancer
ACH-000871,753605.0,NCI-H510,Lung,Lung Neuroendocrine Tumor
ACH-000873,907319.0,KYSE-270,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000874,909703.0,RS4;11,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000875,687820.0,NCI-H2347,Lung,Non-Small Cell Lung Cancer
ACH-000876,924240.0,MDA-MB-415,Breast,Invasive Breast Carcinoma
ACH-000878,1240143.0,HCC-15,Lung,Non-Small Cell Lung Cancer
ACH-000879,908130.0,MFE-296,Uterus,Endometrial Carcinoma
ACH-000880,906790.0,AGS,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000881,908125.0,MEL-JUSO,Skin,Melanoma
ACH-000882,907169.0,IGR-1,Skin,Melanoma
