split,baseline,seed,scheme,n_rows,n_drugs,n_cells,n_scaffolds,delta,se,lo,hi,p,significant
drug_blind,drpreter,1,scaffold,15032,49,696,48,0.04999260403772676,0.07288065792236505,-0.08933008840494545,0.20710825386453893,0.516,False
drug_blind,drpreter,1,twoway,15032,49,696,48,0.04999260403772676,0.08074250589054083,-0.10826270750773326,0.20824791558318678,0.5358103555181205,False
drug_blind,drpreter,2,rows,15032,49,697,48,-0.15256862312983216,0.00975529197044629,-0.1709043479413342,-0.1331113456302557,0.001,True
drug_blind,drpreter,2,drug,15032,49,697,48,-0.15256862312983216,0.15609288970545604,-0.47312855241323104,0.13727944461439598,0.32,False
drug_blind,drpreter,2,cell,15032,49,697,48,-0.15256862312983216,0.008675425766925584,-0.17005198412249506,-0.1361909118141598,0.001,True
drug_blind,drpreter,2,scaffold,15032,49,697,48,-0.15256862312983216,0.14689655208688956,-0.4563433597993913,0.10748313574248382,0.299,False
drug_blind,drpreter,2,twoway,15032,49,697,48,-0.15256862312983216,0.15602912390771298,-0.4583857059889496,0.1532484597292853,0.32816264353691516,False
drug_blind,drpreter,3,rows,15032,49,697,48,-0.11644911551527748,0.0048244843876993565,-0.1257092387271445,-0.10741135627410239,0.001,True
drug_blind,drpreter,3,drug,15032,49,697,48,-0.11644911551527748,0.07389914865746655,-0.2827708726164219,0.001227833269853483,0.053,False
drug_blind,drpreter,3,cell,15032,49,697,48,-0.11644911551527748,0.003938057960082617,-0.12426264207058614,-0.10877278393543528,0.001,True
drug_blind,drpreter,3,scaffold,15032,49,697,48,-0.11644911551527748,0.07183834904985109,-0.28881345784353984,-0.002038500152822825,0.044,True
drug_blind,drpreter,3,twoway,15032,49,697,48,-0.11644911551527748,0.07384657624553867,-0.2611884049565333,0.028290173925978324,0.11481713596291553,False
drug_blind,drpreter,4,rows,15032,49,697,48,-0.018085729329758382,0.006071908437119519,-0.03037922354796107,-0.006321455566541673,0.002,True
drug_blind,drpreter,4,drug,15032,49,697,48,-0.018085729329758382,0.08267257020954706,-0.17894197504032544,0.15538917152104303,0.869,False
drug_blind,drpreter,4,cell,15032,49,697,48,-0.018085729329758382,0.005371070206432052,-0.027995270579777732,-0.007036920920735851,0.001,True
drug_blind,drpreter,4,scaffold,15032,49,697,48,-0.018085729329758382,0.07344855082944371,-0.16204113397708195,0.13193433901269389,0.844,False
drug_blind,drpreter,4,twoway,15032,49,697,48,-0.018085729329758382,0.08262405332677734,-0.18002887385024197,0.1438574151907252,0.8267343193992385,False
drug_blind,graphdrp,0,rows,15032,49,697,48,-0.10869007504058226,0.005714624401761539,-0.12031899358792823,-0.09776608560867946,0.001,True
drug_blind,graphdrp,0,drug,15032,49,697,48,-0.10869007504058226,0.08245056787153533,-0.2835826304422208,0.03971138541975772,0.191,False
drug_blind,graphdrp,0,cell,15032,49,697,48,-0.10869007504058226,0.004908451839897764,-0.11826474160554101,-0.0991782729253883,0.001,True
drug_blind,graphdrp,0,scaffold,15032,49,697,48,-0.10869007504058226,0.08275229467921714,-0.2747515168042307,0.03987817309733717,0.191,False
drug_blind,graphdrp,0,twoway,15032,49,697,48,-0.10869007504058226,0.0823986171592099,-0.27019136467263366,0.05281121459146915,0.18714355686914175,False
drug_blind,graphdrp,1,rows,15032,49,696,48,0.0709275600319963,0.005274583696677777,0.06077049947679169,0.08129711504634454,0.001,True
drug_blind,graphdrp,1,drug,15032,49,696,48,0.0709275600319963,0.08015867290644217,-0.07282875866278918,0.24157314966099983,0.384,False
drug_blind,graphdrp,1,cell,15032,49,696,48,0.0709275600319963,0.0042489599252310585,0.06280430910342967,0.0789661568632757,0.001,True
drug_blind,graphdrp,1,scaffold,15032,49,696,48,0.0709275600319963,0.08033135134549024,-0.07534865303677311,0.2397692574131269,0.398,False
drug_blind,graphdrp,1,twoway,15032,49,696,48,0.0709275600319963,0.08009772324726182,-0.08606397753263687,0.22791909759662946,0.37588011342496375,False
drug_blind,graphdrp,2,rows,15032,49,697,48,-0.11160799090239665,0.006109624855548328,-0.12331607846565666,-0.09921442357632862,0.001,True
drug_blind,graphdrp,2,drug,15032,49,697,48,-0.11160799090239665,0.09469978674682583,-0.3288461095109987,0.030849286170158738,0.209,False
drug_blind,graphdrp,2,cell,15032,49,697,48,-0.11160799090239665,0.00492475775121461,-0.12180823617678359,-0.10197877919547381,0.001,True
drug_blind,graphdrp,2,scaffold,15032,49,697,48,-0.11160799090239665,0.0974609982587417,-0.33274630005222827,0.035244578588441565,0.221,False
drug_blind,graphdrp,2,twoway,15032,49,697,48,-0.11160799090239665,0.09463073144030382,-0.2970842245253921,0.07386824272059883,0.23823680593859445,False
drug_blind,graphdrp,3,rows,15032,49,697,48,-0.04892977054633829,0.0049543212018941666,-0.05856365978160249,-0.039015471987330255,0.001,True
drug_blind,graphdrp,3,drug,15032,49,697,48,-0.04892977054633829,0.072004627581782,-0.19577489785553945,0.086920677872957,0.511,False
