model,split,seed,fold,run_tag,RMSE,MAE,PCC,Spearman,R2,Per-drug PCC,Per-cell PCC,best_val_pcc,best_val_epoch,total_train_sec,n_params,ECE,sel_RMSE@50,sel_RMSE@70,sel_RMSE@90,sel_RMSE@100,epistemic_mean,aleatoric_mean
pathxdrp,random,3,0,v3,1.1385356631852181,0.837130069732666,0.9111111164093018,0.8613467348203572,0.8294638395309448,0.6524938941001892,0.888065755367279,0.9188382625579834,12,4023.1850299835205,3031429,0.0677803305058059,0.8045889044051365,0.9063414494643398,1.0256166626790701,1.1385357155372395,1.2625374794006348,0.15668444335460663
pathxdrp,random,4,0,v3,1.0904596154152444,0.8101009130477905,0.9175049066543579,0.8738674995334746,0.8402849435806274,0.689521074295044,0.897462010383606,0.9232742786407471,20,5479.14355969429,3031429,0.10889584595387276,0.7556847264591765,0.8608155401285993,0.9688274906298795,1.0904596154152444,1.1676405668258667,0.13815315067768097
pathxdrp,scaffold_blind,0,0,v3,2.8909426952740516,2.193894147872925,0.36950942873954773,0.39577696177777066,0.11807763576507568,0.41816651821136475,0.343422532081604,0.3638496398925781,1,2037.9855437278748,3031429,1.6826479477189928,2.726315987272436,2.7671397743008175,2.8316385773030257,2.8909426952740516,1.5070428848266602,0.5411303043365479
pathxdrp,scaffold_blind,1,0,v3,2.4993791763030386,1.8429648876190186,0.40443354845046997,0.30758028164151935,0.14891642332077026,0.3863327205181122,0.340984046459198,0.42307162284851074,1,2103.3298473358154,3031429,1.3198932131131489,2.263006868015711,2.2602245290169347,2.2958190982144204,2.4993791763030386,1.3232709169387817,0.5054745674133301
pathxdrp,scaffold_blind,2,0,v3,2.761583899587418,2.0551233291625977,0.40286195278167725,0.3833543876500685,0.15318769216537476,0.38942545652389526,0.3730153441429138,0.3982752859592438,1,2038.2132380008698,3031429,1.6447992192407601,2.7025199609913866,2.647303966004212,2.7103797712656585,2.7615838132534183,1.1830389499664307,0.5002381801605225
pathxdrp,scaffold_blind,3,0,v3,2.824995891601816,2.012216091156006,0.44571128487586975,0.3976951334060311,0.11975914239883423,0.41173091530799866,0.40148085355758667,0.463733971118927,1,2105.863148212433,3031429,1.5758572206422519,3.009733305107131,2.7745715764255823,2.665062322406741,2.824995891601816,1.3192694187164307,0.5133050680160522
pathxdrp,scaffold_blind,4,0,v3,2.555953525801263,1.7695801258087158,0.5802807807922363,0.49137607344287315,0.29401832818984985,0.6811862587928772,0.4991861581802368,0.5786944627761841,20,5769.828421354294,3031429,1.436564411333171,3.1093426419975394,2.8140774859379394,2.6361791440034126,2.555953525801263,0.8792884945869446,0.10021087527275085
pathxdrp,tissue_blind,0,0,v3,1.4797032775360002,1.1302335262298584,0.8498998284339905,0.7939534177374828,0.722115159034729,-0.06630445271730423,0.8964594602584839,0.842840850353241,1,2450.1112112998962,3031429,0.3033409955056055,1.1494292045120929,1.2562399564882452,1.3745938047896908,1.4797032775360002,1.4506759643554688,0.40498214960098267
pathxdrp,tissue_blind,1,0,v3,1.4854335824967178,1.1365989446640015,0.8417491912841797,0.7903855697694925,0.7084057331085205,-0.014842678792774677,0.8888959884643555,0.8468741178512573,1,2306.295994281769,3031429,0.42809912397186506,1.2007838172860335,1.280938412995675,1.3846855624664671,1.4854335824967178,1.1536755561828613,0.5159940123558044
pathxdrp,tissue_blind,2,0,v3,1.5391915359236592,1.174297571182251,0.8435992002487183,0.7918383065446304,0.6998568177223206,-0.012455452233552933,0.8900838494300842,0.8478858470916748,1,2198.864101409912,3031429,0.42402209392465945,1.2379461851980034,1.307508331622389,1.4469260616643769,1.5391916908222287,1.2756768465042114,0.49347424507141113
